fn,rmsd_all
4_0_solution_3V7E_rpr.pdb,0.0 
4_adamiak_1_rpr.pdb,4.718 
4_adamiak_2_rpr.pdb,4.491 
4_adamiak_3_rpr.pdb,4.345 
4_adamiak_4_rpr.pdb,6.636 
4_adamiak_5_rpr.pdb,4.676 
4_bujnicki_1_rpr.pdb,4.202 
4_bujnicki_2_rpr.pdb,4.203 
4_bujnicki_3_rpr.pdb,4.208 
4_bujnicki_4_rpr.pdb,4.203 
4_bujnicki_5_rpr.pdb,4.201 
4_chen_1_rpr.pdb,3.358 
4_chen_2_rpr.pdb,3.352 
4_chen_3_rpr.pdb,3.374 
4_chen_4_rpr.pdb,3.372 
4_chen_5_rpr.pdb,3.372 
4_chen_6_rpr.pdb,3.376 
4_chen_7_rpr.pdb,3.369 
4_chen_8_rpr.pdb,3.364 
4_chen_9_rpr.pdb,3.356 
4_chen_10_rpr.pdb,3.357 
4_das_1_rpr.pdb,4.511 
4_das_2_rpr.pdb,4.511 
4_das_3_rpr.pdb,4.511 
4_das_4_rpr.pdb,4.511 
4_das_5_rpr.pdb,4.511 
4_dokholyan_1_rpr.pdb,5.372 
4_dokholyan_2_rpr.pdb,5.372 
4_major_1_rpr.pdb,4.514 
4_mikolajczak_1_rpr.pdb,12.784 
4_santalucia_1_rpr.pdb,4.124 
