Model,RMSD,DI all,INF all,INF wc,INF nwc,INF stacking,Clash Score,P-value,mcq,best sol.
Adamiak_1,4.661,5.691,0.819,0.945,0.471,0.776,17.22,0.00E+00,16.91,1
Adamiak_2,4.304,5.004,0.86,0.957,0.577,0.826,19.92,0.00E+00,16.04,2
Adamiak_3,4.132,4.907,0.842,0.934,0.289,0.821,18.69,0.00E+00,15.85,2
Adamiak_4,6.411,9.17,0.699,0.697,0.25,0.723,70.83,0.00E+00,23.25,2
Adamiak_5,4.425,7.007,0.632,0.572,0.224,0.682,69.11,0.00E+00,22.37,2
Bujnicki_1,3.852,4.224,0.912,0.979,0.671,0.893,20.41,0.00E+00,13.3,2
Bujnicki_2,3.855,4.27,0.903,0.979,0.671,0.88,24.34,0.00E+00,13.21,2
Bujnicki_3,3.861,4.247,0.909,0.979,0.75,0.885,21.64,0.00E+00,13.37,2
Bujnicki_4,3.855,4.27,0.903,0.979,0.671,0.88,25.08,0.00E+00,13.21,2
Bujnicki_5,3.854,4.242,0.909,0.979,0.671,0.888,20.41,0.00E+00,13.49,2
Chen_1,3.367,3.602,0.935,0.989,0.707,0.926,1.97,0.00E+00,13.64,2
Chen_2,3.367,3.589,0.938,0.989,0.667,0.935,2.22,0.00E+00,13.54,2
Chen_3,3.39,3.581,0.947,0.989,0.756,0.94,2.22,0.00E+00,13.63,2
Chen_4,3.389,3.59,0.944,0.989,0.707,0.94,3.45,0.00E+00,13.39,2
Chen_5,3.389,3.594,0.943,0.989,0.756,0.934,2.72,0.00E+00,13.56,2
Chen_6,3.387,3.591,0.943,0.989,0.756,0.934,2.22,0.00E+00,13.57,2
Chen_7,3.382,3.609,0.937,0.989,0.756,0.925,3.21,0.00E+00,13.67,2
Chen_8,3.385,3.574,0.947,0.989,0.707,0.944,3.46,0.00E+00,13.62,2
Chen_9,3.37,3.573,0.943,0.989,0.756,0.934,1.98,0.00E+00,13.71,2
Chen_10,3.379,3.593,0.94,0.989,0.707,0.935,1.97,0.00E+00,13.66,2
Das_1,4.733,5.301,0.893,0.979,0.577,0.875,8.62,0.00E+00,11.06,1
Das_2,4.733,5.285,0.896,0.979,0.577,0.879,8.86,0.00E+00,11.07,1
Das_3,4.733,5.285,0.896,0.979,0.577,0.879,8.86,0.00E+00,11.06,1
Das_4,4.733,5.285,0.896,0.979,0.577,0.879,8.86,0.00E+00,11.06,1
Das_5,4.733,5.285,0.896,0.979,0.577,0.879,8.86,0.00E+00,11.07,1
Dokholyan_1,5.311,5.865,0.906,0.989,0.756,0.878,13.52,0.00E+00,13.81,2
Dokholyan_2,5.311,5.865,0.906,0.989,0.756,0.878,13.52,0.00E+00,13.81,2
Major_1,4.664,5.173,0.902,0.979,0.707,0.881,0.49,0.00E+00,19.52,2
Mikolajczak_1,13.613,18.9,0.72,0.739,0.289,0.749,29.29,0.00E+00,16.23,1
Santalucia_1,4.023,4.563,0.882,0.989,0.567,0.852,33.92,0.00E+00,14.42,2
