fn,rmsd_all
9_0_solution_5kpy_rpr.pdb,0.0 
9_Bujnicki_3_rpr.pdb,6.18 
9_Bujnicki_4_rpr.pdb,6.18 
9_Bujnicki_5_rpr.pdb,6.18 
9_Chen_1_rpr.pdb,6.5 
9_Chen_2_rpr.pdb,6.39 
9_Chen_3_rpr.pdb,6.38 
9_Chen_4_rpr.pdb,6.47 
9_Chen_5_rpr.pdb,6.39 
9_Chen_6_rpr.pdb,6.59 
9_Chen_7_rpr.pdb,6.04 
9_Chen_8_rpr.pdb,6.49 
9_Das_1_rpr.pdb,8.67 
9_Das_2_rpr.pdb,7.76 
9_Das_3_rpr.pdb,8.35 
9_Das_4_rpr.pdb,9.5 
9_Das_5_rpr.pdb,7.79 
9_Das_6_rpr.pdb,8.61 
9_Das_7_rpr.pdb,8.94 
9_Das_8_rpr.pdb,10.52 
9_Das_9_rpr.pdb,9.78 
9_Ding_1_rpr.pdb,9.59 
9_Ding_2_rpr.pdb,9.79 
9_Ding_3_rpr.pdb,8.98 
9_Ding_4_rpr.pdb,9.82 
9_Ding_5_rpr.pdb,8.93 
9_Ding_6_rpr.pdb,12.07 
9_Ding_7_rpr.pdb,9.58 
9_Ding_8_rpr.pdb,11.11 
9_Ding_9_rpr.pdb,9.91 
9_Ding_10_rpr.pdb,11.14 
9_Dokholyan_1_rpr.pdb,20.16 
9_Dokholyan_2_rpr.pdb,25.43 
9_Dokholyan_3_rpr.pdb,22.35 
9_Dokholyan_4_rpr.pdb,19.35 
