Model,RMSD,DI all,INF all,INF wc,INF nwc,INF stacking,Clash Score,P-value,mcq,best sol.
Adamiak_1,17.722,25.312,0.7,0.896,0,0.661,11.1,2.29E-08,14.71,3
Bujnicki_1,24.777,36.689,0.675,0.789,0,0.691,1.32,6.09E-02,9.16,3
Bujnicki_2,20.765,28.094,0.739,0.862,0,0.735,1.66,7.96E-05,9.31,3
Bujnicki_3,22.37,36.99,0.605,0.717,0,0.62,5.3,1.96E-03,12.04,3
Bujnicki_4,22.244,32.797,0.678,0.789,0,0.682,1.16,1.57E-03,10.1,3
Bujnicki_5,23.811,34.15,0.697,0.86,0,0.68,0.66,1.86E-02,9.89,3
Chen_1,27.649,39.491,0.7,0.812,0,0.714,4.64,5.19E-01,11.06,3
Chen_2,26.243,37.135,0.707,0.804,0,0.732,7.78,2.32E-01,12.2,3
Chen_3,29.464,42.777,0.689,0.714,0,0.739,11.42,8.55E-01,11.35,3
Chen_4,32.21,44.453,0.725,0.832,0,0.741,8.28,9.95E-01,11.36,3
Chen_5,31.435,44.122,0.712,0.81,0,0.728,13.41,9.84E-01,10.24,3
Chen_6,32.18,44.948,0.716,0.832,0,0.725,0,9.95E-01,11.03,3
Chen_7,26.722,40.196,0.665,0.759,0,0.689,0,3.20E-01,11.57,3
Das_1,10.407,13.755,0.757,0.919,0.256,0.751,9.44,0.00E+00,10.43,3
Das_2,9.581,12.583,0.761,0.906,0.334,0.751,6.79,0.00E+00,9.97,3
Dokholyan_1,27.764,38.821,0.715,0.841,-,0.703,7.45,5.44E-01,13.2,3
Dokholyan_2,20.337,29.785,0.683,0.837,-,0.656,7.62,2.98E-05,12.26,3
Dokholyan_3,23.791,32.781,0.726,0.878,0,0.712,8.61,1.81E-02,12.68,3
Dokholyan_4,20.337,29.785,0.683,0.837,-,0.656,7.62,2.98E-05,12.26,3
Dokholyan_5,23.528,33.279,0.707,0.866,-,0.679,6.46,1.25E-02,12.95,3
Dokholyan_6,21.778,29.627,0.735,0.912,0,0.702,10.43,6.56E-04,13.6,2
Dokholyan_7,22.562,31.623,0.713,0.905,0,0.681,8.77,2.74E-03,12.25,2
Dokholyan_8,24.638,34.731,0.709,0.889,0,0.673,9.11,5.22E-02,12.62,2
Xiao_1,36.792,53.264,0.691,0.857,0.205,0.66,0,1.00E+00,17.26,3
Xiao_2,32.857,47.831,0.687,0.848,0.187,0.662,0.17,9.98E-01,16.96,3
