fn,rmsd_all
5_solution_0_rpr.pdb,0.0
5_das_2_rpr.pdb,9.03
5_das_1_rpr.pdb,9.75
5_adamiak_1_rpr.pdb,16.38
5_dokholyan_4_rpr.pdb,19.36
5_dokholyan_2_rpr.pdb,19.36
5_bujnicki_2_rpr.pdb,20.27
5_dokholyan_6_rpr.pdb,21.22
5_dokholyan_7_rpr.pdb,21.85
5_bujnicki_3_rpr.pdb,22.01
5_bujnicki_4_rpr.pdb,22.41
5_dokholyan_5_rpr.pdb,22.6
5_dokholyan_3_rpr.pdb,23.25
5_bujnicki_5_rpr.pdb,23.74
5_bujnicki_1_rpr.pdb,24.64
5_dokholyan_8_rpr.pdb,24.72
5_chen_2_rpr.pdb,25.61
5_chen_7_rpr.pdb,26.13
5_chen_1_rpr.pdb,26.54
5_dokholyan_1_rpr.pdb,26.97
5_chen_3_rpr.pdb,29.23
5_chen_5_rpr.pdb,31.0
5_chen_4_rpr.pdb,31.47
5_chen_6_rpr.pdb,31.5
5_xiao_2_rpr.pdb,32.55
5_xiao_1_rpr.pdb,36.18
