fn,rmsd_all
7_0_soluton_4r4v_rpr.pdb,0.0 
7_Adamiak_1_rpr.pdb,29.04 
7_Adamiak_2_rpr.pdb,28.83 
7_Adamiak_3_rpr.pdb,30.74 
7_Adamiak_4_rpr.pdb,30.01 
7_Adamiak_5_rpr.pdb,28.39 
7_Bujnicki_1_rpr.pdb,42.52 
7_Bujnicki_2_rpr.pdb,60.63 
7_Bujnicki_3_rpr.pdb,26.14 
7_Bujnicki_4_rpr.pdb,24.89 
7_Bujnicki_5_rpr.pdb,24.89 
7_Bujnicki_6_rpr.pdb,26.15 
7_Bujnicki_7_rpr.pdb,26.93 
7_Chen_1_rpr.pdb,28.28 
7_Chen_2_rpr.pdb,34.36 
7_Chen_3_rpr.pdb,29.75 
7_Chen_4_rpr.pdb,27.75 
7_Chen_5_rpr.pdb,23.23 
7_Chen_6_rpr.pdb,29.07 
7_Chen_7_rpr.pdb,29.12 
7_Chen_8_rpr.pdb,29.93 
7_Chen_9_rpr.pdb,33.37 
7_Chen_10_rpr.pdb,31.55 
7_Das_1_rpr.pdb,20.58 
7_Das_2_rpr.pdb,23.56 
7_Das_3_rpr.pdb,24.57 
7_Das_4_rpr.pdb,25.39 
7_Das_5_rpr.pdb,24.6 
7_Das_6_rpr.pdb,25.16 
7_Das_8_rpr.pdb,26.8 
7_Ding_1_rpr.pdb,29.27 
7_Ding_2_rpr.pdb,32.76 
7_Ding_3_rpr.pdb,31.81 
7_Ding_4_rpr.pdb,31.95 
7_Ding_5_rpr.pdb,29.79 
7_Ding_6_rpr.pdb,29.3 
7_Ding_7_rpr.pdb,29.97 
7_Ding_8_rpr.pdb,27.24 
7_Ding_9_rpr.pdb,26.8 
7_Ding_10_rpr.pdb,36.56 
7_Dokholyan_1_rpr.pdb,30.19 
7_Dokholyan_2_rpr.pdb,36.92 
7_Major_1_rpr.pdb,29.01 
7_Major_2_rpr.pdb,28.18 
7_Major_3_rpr.pdb,26.91 
7_Major_4_rpr.pdb,27.64 
7_Major_5_rpr.pdb,28.53 
7_Major_6_rpr.pdb,27.7 
7_Major_7_rpr.pdb,28.53 
7_Major_8_rpr.pdb,27.41 
7_Major_9_rpr.pdb,27.37 
7_Major_10_rpr.pdb,31.61 
