Model,RMSD,DI all,INF all,INF wc,INF nwc,INF stacking,Clash Score,P-value,mcq,best sol.
Adamiak_1,29.244,42.868,0.682,0.81,0.143,0.651,14.45,5.45E-12,19.77,1
Adamiak_2,29.259,44.804,0.653,0.81,0,0.607,14.95,5.77E-12,18.9,1
Adamiak_3,31.196,46.048,0.677,0.81,0,0.643,17.64,5.66E-09,19.65,1
Adamiak_4,30.713,47.104,0.652,0.777,0,0.63,14.62,1.13E-09,18.68,1
Adamiak_5,29.419,41.568,0.708,0.842,0.154,0.672,9.91,1.06E-11,17.91,1
Bujnicki_1,42.521,66.912,0.635,0.598,0,0.683,1.85,7.20E-01,15.04,1
Bujnicki_2,61.504,98.044,0.627,0.611,0,0.668,2.44,1.00E+00,15.24,1
Bujnicki_3,27.138,36.729,0.739,0.861,0,0.71,1.76,8.33E-16,16.71,1
Bujnicki_4,25.534,34.712,0.736,0.861,0,0.717,1.43,0.00E+00,15.27,1
Bujnicki_5,25.533,34.711,0.736,0.861,0,0.717,2.27,0.00E+00,15.27,1
Bujnicki_6,26.978,36.737,0.734,0.861,0,0.704,0.5,3.89E-16,16.67,1
Bujnicki_7,27.616,37.845,0.73,0.858,0,0.708,1.01,6.88E-15,16.09,1
Chen_1,28.987,62.327,0.465,0.502,0,0.495,1.52,2.01E-12,24.54,1
Chen_2,34.684,47.662,0.728,0.826,0.218,0.703,59.79,8.11E-05,7.43,1
Chen_3,30.467,41.767,0.729,0.846,0.189,0.7,53.52,4.85E-10,8.78,1
Chen_4,28.272,38.251,0.739,0.846,0.218,0.712,65.65,1.12E-13,10.5,1
Chen_5,23.787,31.167,0.763,0.877,0.158,0.742,61.9,0.00E+00,8.22,2
Chen_6,29.6,40.028,0.739,0.839,0.154,0.723,60.76,2.11E-11,7.89,1
Chen_7,29.646,40.205,0.737,0.839,0.169,0.717,71.32,2.50E-11,6.72,1
Chen_8,30.669,41.45,0.74,0.83,0.267,0.716,55.32,9.73E-10,7.44,1
Chen_9,33.511,46.556,0.72,0.826,0.189,0.693,64.15,4.86E-06,7.44,1
Chen_10,32.821,45.425,0.723,0.82,0.218,0.698,47.47,7.66E-07,8.78,1
Das_1,20.72,27.713,0.748,0.895,0.105,0.726,10.68,0.00E+00,17.03,1
Das_2,23.599,32.531,0.725,0.852,0.101,0.713,7.9,0.00E+00,15.98,1
Das_3,24.374,34.088,0.715,0.839,0.098,0.707,8.41,0.00E+00,17.3,1
Das_4,25.314,36.583,0.692,0.842,0.085,0.683,9.58,0.00E+00,16.85,1
Das_5,24.727,33.42,0.74,0.88,0.154,0.703,7.4,0.00E+00,16.76,1
Das_6,25.268,34.501,0.732,0.858,0.098,0.726,10.59,0.00E+00,17.43,1
Das_7,25.263,35.769,0.706,0.836,0.114,0.686,13.46,0.00E+00,16.21,1
Das_8,27.041,37.037,0.73,0.849,0,0.743,7.73,5.55E-16,16.09,1
Ding_1,29.451,42.862,0.687,0.758,0,0.678,14.61,1.20E-11,17.14,1
Ding_2,33.213,50.086,0.663,0.754,0,0.641,10.92,2.23E-06,18.35,1
Ding_3,32.463,50.298,0.645,0.727,0,0.627,15.45,2.79E-07,17.75,1
Ding_4,32.599,50.366,0.647,0.754,0,0.625,14.28,4.10E-07,17.05,1
Ding_5,29.937,45.973,0.651,0.748,0,0.631,11.76,7.33E-11,17.17,1
Ding_6,29.88,45.392,0.658,0.758,-,0.628,10.92,5.94E-11,18.03,1
Ding_7,30.155,44.996,0.67,0.764,0,0.649,12.26,1.61E-10,18.01,1
Ding_8,27.631,41.9,0.659,0.748,0,0.638,13.77,7.33E-15,17.38,1
Ding_9,27.068,41.682,0.649,0.726,-,0.63,11.08,6.11E-16,18.42,1
Ding_10,37.101,58.552,0.634,0.721,0,0.615,11.25,7.57E-03,0,1
Dokholyan_1,30.48,45.285,0.673,0.869,0,0.605,7.05,5.06E-10,19.1,1
Dokholyan_2,36.707,65.341,0.562,0.521,0,0.607,8.73,4.05E-03,18.3,1
Major_1,28.476,42.299,0.673,0.801,0,0.647,33.49,2.59E-13,26.21,1
Major_2,27.726,40.366,0.687,0.803,0,0.667,51.94,1.11E-14,26.96,1
Major_3,26.434,38.975,0.678,0.803,0,0.66,56.3,5.55E-17,26.68,1
Major_4,27.041,40.06,0.675,0.803,0,0.65,30.71,5.55E-16,24.37,1
Major_5,27.935,40.67,0.687,0.793,0,0.672,38.47,2.71E-14,25.22,1
Major_6,27.266,39.898,0.683,0.793,0,0.667,46.96,1.50E-15,26.11,1
Major_7,27.94,40.677,0.687,0.793,0,0.672,35.01,2.77E-14,25.16,1
Major_8,26.947,39.921,0.675,0.787,0,0.66,51.52,3.33E-16,26.89,1
Major_9,26.925,39.877,0.675,0.797,0,0.652,67.13,3.33E-16,26.8,1
Major_10,31.035,45.644,0.68,0.803,0,0.66,47.05,3.33E-09,27.07,1
