Model,RMSD,DI all,INF all,INF wc,INF nwc,INF stacking,Clash Score,P-value,mcq,best sol.
Adamiak_1,10.12,13.284,0.762,0.951,0,0.709,6.08,9.18E-11,12.21,1
Bujinicki_1,10.111,12.55,0.806,0.865,0,0.831,37.38,8.87E-11,13,1
Bujinicki_2,14.592,18.829,0.775,0.865,0,0.775,20.39,5.01E-05,12.08,1
Bujinicki_3,9.047,11.938,0.758,0.819,0,0.762,22.13,1.58E-12,12.78,1
Bujinicki_4,16.522,21.389,0.772,0.884,0,0.755,41.25,2.42E-03,12.69,1
Bujinicki_5,13.243,18.295,0.724,0.884,0,0.689,9.11,1.75E-06,12.72,1
Bujinicki_6,16.251,21.856,0.744,0.837,-,0.724,6.51,1.50E-03,9.73,1
Bujinicki_7,13.647,17.6,0.775,0.884,-,0.749,12.15,5.05E-06,12.2,1
Bujinicki_8,13.331,17.138,0.778,0.819,-,0.784,1.74,2.21E-06,11.67,1
Bujinicki_9,17.584,32.595,0.539,0.333,-,0.655,1.74,1.29E-02,11.83,1
Bujinicki_10,15.886,28.39,0.56,0.393,-,0.66,3.04,7.58E-04,11,1
Chen_1,16.05,21.492,0.747,0.927,0,0.708,0,1.03E-03,15.11,1
Chen_2,9.784,12.555,0.779,0.927,0,0.755,0.43,2.66E-11,19.79,1
Chen_3,10.28,12.753,0.806,0.951,0,0.775,1.74,1.63E-10,17.09,1
Chen_4,16.384,23.591,0.695,0.781,0,0.701,0,1.90E-03,15.73,1
Chen_5,5.966,7.388,0.808,0.951,0,0.778,0.43,0.00E+00,19.09,1
Chen_6,16.32,20.784,0.785,0.868,0.333,0.783,0,1.69E-03,14.45,2
Chen_7,16.107,21.068,0.765,0.926,0,0.724,0.43,1.15E-03,22.39,1
Chen_8,15.787,19.614,0.805,0.9,0,0.799,2.17,6.26E-04,17.34,1
Chen_9,16.438,20.921,0.786,0.874,0,0.811,0.43,2.09E-03,17.77,1
Das_1,8.082,10.9,0.741,0.865,0,0.749,5.21,3.02E-14,13.68,1
Das_2,5.671,7.263,0.781,0.927,0.218,0.779,4.34,0.00E+00,10.7,1
Das_3,9.115,12.166,0.749,0.927,0.258,0.714,6.07,2.06E-12,12.03,1
Das_4,11.953,16.594,0.72,0.884,0,0.692,8.68,4.25E-08,11.54,1
Das_5,13.856,18.765,0.738,0.905,0.174,0.754,15.18,8.58E-06,13.08,1
Das_6,15.49,21.711,0.713,0.93,0,0.667,8.68,3.48E-04,13.26,1
Das_7,5.802,7.541,0.769,0.905,0.258,0.755,10.85,0.00E+00,12.38,1
Das_8,14.68,19.226,0.764,0.865,0.408,0.736,4.77,6.12E-05,13.11,1
Das_9,12.867,18.201,0.707,0.905,0,0.643,11.71,6.22E-07,12.65,1
Das_10,13.723,17.904,0.766,0.905,0,0.781,5.64,6.12E-06,10.97,1
Ding_1,17.082,20.443,0.836,0.927,0,0.831,13.45,6.09E-03,12.33,1
Ding_2,17.276,22.28,0.775,0.878,0,0.762,19.09,8.21E-03,12.97,1
Ding_3,14.172,18.978,0.747,0.905,0,0.708,13.02,1.87E-05,12.26,1
Ding_4,14.717,19.345,0.761,0.927,0,0.719,10.41,6.65E-05,13.09,1
Ding_5,15.581,20.795,0.749,0.927,0,0.7,13.02,4.18E-04,14.25,1
Ding_6,15.269,20.303,0.752,0.878,0,0.727,12.15,2.21E-04,12.37,1
Ding_7,17.013,21.595,0.788,0.927,0,0.759,18.22,5.46E-03,13.28,1
Ding_8,15.415,20.334,0.758,0.927,0,0.732,6.94,2.98E-04,13.59,1
Ding_9,18.406,24.474,0.752,0.884,-,0.714,10.85,3.82E-02,12.16,1
Ding_10,17.724,24.326,0.729,0.901,0,0.681,11.28,1.58E-02,12.33,1
Dokholyan_1,18.227,28.712,0.635,0.8,0,0.618,13.88,3.07E-02,16.47,2
Dokholyan_2,16.061,24.706,0.65,0.765,0,0.635,10.41,1.05E-03,12.65,2
Dokholyan_3,23.52,48.767,0.482,0.303,0,0.595,11.28,8.58E-01,11.95,1
Dokholyan_4,22.476,44.858,0.501,0.336,0,0.622,13.45,6.88E-01,14.77,3
Dokholyan_5,17.496,28.877,0.606,0.765,0,0.579,14.75,1.14E-02,15.48,2
Xiao_1,17.879,41.546,0.43,0.345,0,0.493,1.33,1.95E-02,11.92,1
Xiao_2,25.007,109.878,0.228,0,0,0.302,27.77,9.71E-01,15.35,1
Xiao_3,17.647,109.827,0.161,0,0,0.218,15.42,1.41E-02,17.57,1
Xiao_4,25.14,55.485,0.453,0.294,0,0.539,0,9.76E-01,15.51,3
Xiao_5,21.878,29.847,0.733,0.8,0.667,0.712,26.48,5.63E-01,16.17,2
Xiao_6,25.146,49.989,0.503,0.336,0,0.59,1.74,9.76E-01,21.25,3
Xiao_7,27.672,62.341,0.444,0.282,0,0.557,32.16,1.00E+00,18.12,1
Xiao_8,25.924,52.579,0.493,0.286,0,0.593,1.3,9.92E-01,14.46,3
Xiao_9,25.578,52.341,0.489,0.324,0,0.575,2.17,9.87E-01,20.43,2
Xiao_10,25.092,48.458,0.518,0.294,0,0.641,1.3,9.74E-01,17.84,3
