fn,rmsd_all
9_Bujnicki_1_rpr.pdb,2.74 
9_Bujnicki_2_rpr.pdb,3.2 
9_Bujnicki_3_rpr.pdb,2.76 
9_Bujnicki_4_rpr.pdb,2.79 
9_Bujnicki_5_rpr.pdb,2.68 
