fn,rmsd_all
8_0_solution_4L81_rpr.pdb,0.0 
8_Adamiak_1_rpr.pdb,13.9 
8_Adamiak_2_rpr.pdb,14.46 
8_Bujnicki_1_rpr.pdb,12.27 
8_Bujnicki_2_rpr.pdb,11.84 
8_Bujnicki_3_rpr.pdb,11.31 
8_Bujnicki_4_rpr.pdb,12.17 
8_Bujnicki_5_rpr.pdb,11.03 
8_Bujnicki_6_rpr.pdb,11.78 
8_Bujnicki_7_rpr.pdb,6.71 
8_Bujnicki_8_rpr.pdb,11.48 
8_Bujnicki_9_rpr.pdb,6.81 
8_Bujnicki_10_rpr.pdb,10.8 
8_Chen_1_rpr.pdb,13.08 
8_Chen_2_rpr.pdb,12.79 
8_Chen_3_rpr.pdb,11.29 
8_Chen_4_rpr.pdb,12.88 
8_Chen_5_rpr.pdb,11.67 
8_Chen_6_rpr.pdb,11.77 
8_Chen_7_rpr.pdb,12.8 
8_Chen_8_rpr.pdb,15.81 
8_Chen_9_rpr.pdb,11.3 
8_Chen_10_rpr.pdb,12.15 
8_Das_1_rpr.pdb,6.38 
8_Das_2_rpr.pdb,10.65 
8_Das_3_rpr.pdb,4.8 
8_Das_4_rpr.pdb,10.78 
8_Das_5_rpr.pdb,10.8 
8_Das_6_rpr.pdb,10.77 
8_Ding_1_rpr.pdb,12.09 
8_Ding_2_rpr.pdb,13.5 
8_Ding_3_rpr.pdb,11.33 
8_Ding_4_rpr.pdb,15.17 
8_Ding_5_rpr.pdb,12.39 
8_Ding_6_rpr.pdb,13.53 
8_Ding_7_rpr.pdb,12.48 
8_Ding_8_rpr.pdb,14.99 
8_Ding_9_rpr.pdb,16.22 
8_Ding_10_rpr.pdb,11.33 
8_Dokholyan_1_rpr.pdb,23.69 
8_Dokholyan_2_rpr.pdb,18.62 
8_Dokholyan_3_rpr.pdb,24.75 
8_Dokholyan_4_rpr.pdb,31.29 
