Model,RMSD,DI all,INF all,INF wc,INF nwc,INF stacking,Clash Score,P-value,mcq,best sol.
Adamiak_1,15.021,19.3,0.778,0.906,0.612,0.733,10.25,6.77E-15,16.25,1
Adamiak_2,15.546,20.658,0.753,0.906,0.548,0.7,11.21,6.37E-14,16.2,1
Bujnicki_1,13.815,17.647,0.783,0.896,0.73,0.737,7.68,5.55E-17,14.51,1
Bujnicki_2,12.381,15.269,0.811,0.923,0.471,0.784,12.81,0.00E+00,14.53,1
Bujnicki_3,12.498,15.937,0.784,0.906,0.617,0.747,19.53,0.00E+00,14.57,1
Bujnicki_4,13.124,15.906,0.825,0.938,0.548,0.797,16.65,0.00E+00,13.5,1
Bujnicki_5,11.885,15.181,0.783,0.884,0.612,0.75,14.09,0.00E+00,14.29,1
Bujnicki_6,12.372,16.256,0.761,0.879,0.5,0.73,11.85,0.00E+00,14.07,1
Bujnicki_7,6.633,8.83,0.751,0.906,0.289,0.711,0.96,0.00E+00,15.75,1
Bujnicki_8,11.766,14.927,0.788,0.892,0.612,0.757,5.76,0.00E+00,15.17,1
Bujnicki_9,6.297,8.382,0.751,0.839,0.5,0.735,4.8,0.00E+00,14.5,1
Bujnicki_10,11.087,15.506,0.715,0.844,0.408,0.68,17.61,0.00E+00,16.72,1
Chen_1,12.654,15.973,0.792,0.923,0.471,0.753,11.85,0.00E+00,17.94,1
Chen_2,12.469,16.613,0.751,0.892,0.236,0.719,0.64,0.00E+00,16.52,1
Chen_3,10.943,14.369,0.762,0.906,0.289,0.724,3.2,0.00E+00,17.36,1
Chen_4,12.534,17.418,0.72,0.906,0.236,0.664,1.28,0.00E+00,17.46,1
Chen_5,11.348,15.319,0.741,0.923,0.236,0.688,1.92,0.00E+00,16.84,1
Chen_6,11.402,16.499,0.691,0.871,0.5,0.623,1.29,0.00E+00,22.11,1
Chen_7,12.317,17.704,0.696,0.857,0.236,0.651,24.02,0.00E+00,18.59,1
Chen_8,15.302,22.718,0.674,0.849,0.365,0.625,2.26,2.27E-14,20.41,1
Chen_9,10.954,16.864,0.65,0.835,0.408,0.595,2.58,0.00E+00,22.23,1
Chen_10,11.883,15.96,0.745,0.906,0.236,0.703,1.28,0.00E+00,17.79,1
Das_1,6.296,7.43,0.847,0.97,0.544,0.824,14.44,0.00E+00,12.24,1
Das_2,11.106,12.973,0.856,0.985,0.544,0.832,12.83,0.00E+00,12.47,1
Das_3,4.747,5.588,0.85,0.985,0.577,0.816,13.8,0.00E+00,12.9,1
Das_4,10.985,13.289,0.827,0.969,0.516,0.8,7.38,0.00E+00,13.69,1
Das_5,11.494,14.178,0.811,0.954,0.492,0.786,7.7,0.00E+00,13.71,1
Das_6,10.982,13.284,0.827,0.954,0.577,0.795,5.44,0.00E+00,14.74,1
Ding_1,12.825,18.453,0.695,0.921,-,0.616,14.09,0.00E+00,16.84,1
Ding_2,14.201,19.374,0.733,0.921,0,0.687,17.61,1.66E-16,17.67,1
Ding_3,11.451,16.103,0.711,0.936,0,0.658,14.41,0.00E+00,17.79,1
Ding_4,15.922,20.789,0.766,0.953,0,0.723,10.89,3.00E-13,16.17,1
Ding_5,13.396,18.009,0.744,0.935,0,0.699,12.17,0.00E+00,16.92,1
Ding_6,14.842,20.087,0.739,0.936,0,0.685,7.36,3.11E-15,15.99,1
Ding_7,13.534,18.362,0.737,0.968,-,0.66,11.21,0.00E+00,15.53,1
Ding_8,15.813,22.36,0.707,0.921,0,0.652,13.77,1.92E-13,16.56,1
Ding_9,17.128,24.279,0.705,0.954,0,0.655,13.45,3.28E-11,16.64,1
Ding_10,12.233,16.282,0.751,0.952,-,0.687,12.49,0.00E+00,16.2,1
Dokholyan_1,24.718,40.878,0.605,0.667,0.289,0.596,7.36,1.03E-02,17.96,1
Dokholyan_2,18.714,34.516,0.542,0.699,0,0.492,11.53,8.07E-09,18.91,1
Dokholyan_3,25.945,45.729,0.567,0.689,-,0.531,6.4,5.13E-02,17.98,1
Dokholyan_4,31.523,81.149,0.388,0.29,0,0.465,9.61,9.29E-01,18.49,1
