Model,RMSD,DI all,INF all,INF wc,INF nwc,INF stacking,Clash Score,P-value,mcq,best sol.
Adamiak_1,12.982,21.714,0.598,0.83,-,0.514,11.07,3.07E-06,16.39,2
Adamiak_2,12.367,20.297,0.609,0.83,0,0.545,15.09,5.77E-07,16.07,2
Adamiak_3,12.618,20.291,0.622,0.85,-,0.545,10.56,1.16E-06,15.74,2
Bujnicki_1,15.087,22.796,0.662,0.776,-,0.659,3.52,4.01E-04,17.71,1
Bujnicki_2,15.337,25.758,0.595,0.732,0,0.593,0,6.56E-04,18.01,2
Bujnicki_3,15.468,26.176,0.591,0.75,0,0.586,0,8.43E-04,15.87,2
Bujnicki_4,16.988,27.493,0.618,0.781,0,0.601,0,1.08E-02,16.89,2
Bujnicki_5,15.111,22.337,0.676,0.763,0,0.698,5.03,4.20E-04,14.7,1
Bujnicki_6,15.526,23.115,0.672,0.81,-,0.663,0,9.41E-04,15.21,1
Bujnicki_7,11.604,16.705,0.695,0.83,0,0.693,1.01,6.22E-08,13.58,1
Bujnicki_8,13.203,18.386,0.718,0.839,-,0.716,0,5.43E-06,13.61,1
Bujnicki_9,14.759,22.3,0.662,0.776,-,0.659,3.52,2.04E-04,17.71,1
Bujnicki_10,15.337,25.758,0.595,0.732,0,0.593,0,6.56E-04,18.01,2
Chen_1,16.111,24.89,0.647,0.791,0,0.642,101.96,2.69E-03,11.22,1
Chen_2,11.605,16.782,0.691,0.83,0,0.701,101.86,6.22E-08,11.31,2
Chen_3,18.24,29.539,0.617,0.783,0,0.593,0,5.48E-02,20,1
Chen_4,15.142,25.05,0.604,0.667,0,0.667,166.41,4.47E-04,11.2,1
Chen_5,9.443,16.194,0.583,0.75,0,0.633,157.15,4.36E-11,10.77,2
Chen_6,14.75,24.376,0.605,0.723,0,0.634,176.17,2.00E-04,8.78,3
Chen_7,18.126,28.278,0.641,0.872,-,0.582,4.52,4.81E-02,18.39,2
Chen_8,17.706,26.574,0.666,0.868,-,0.625,1.51,2.89E-02,15.18,1
Chen_9,15.598,24.106,0.647,0.75,0,0.675,107.14,1.08E-03,15.84,1
Chen_10,19.897,53.458,0.372,0.191,0,0.506,0.5,2.48E-01,15.88,2
Das_1,8.602,11.138,0.772,0.906,0,0.779,3.02,1.76E-12,14.63,2
Das_2,11.25,15.955,0.705,0.83,0,0.731,6.53,2.08E-08,15.08,2
Das_3,14.858,20.892,0.711,0.9,0,0.704,10.55,2.51E-04,14.3,2
Das_4,7.134,10.222,0.698,0.858,0,0.701,7.04,3.89E-15,13.72,2
Das_5,15.383,22.701,0.678,0.81,0,0.703,8.04,7.18E-04,14.53,1
Das_6,11.509,17.218,0.668,0.83,0,0.659,4.02,4.65E-08,14.2,2
Das_7,10.955,16.296,0.672,0.83,0,0.675,12.56,8.13E-09,15.3,1
Das_8,8.673,12.061,0.719,0.878,0,0.718,7.54,2.33E-12,13.5,2
Das_9,8.766,12.482,0.702,0.83,0,0.717,6.53,3.35E-12,14.82,2
Das_10,17.435,25.844,0.675,0.83,0,0.68,14.07,2.03E-02,16.05,1
DasExtraInfo_1,11.021,15.666,0.703,0.83,0.218,0.701,10.05,1.01E-08,15.92,2
DasExtraInfo_2,12.07,17.157,0.703,0.839,0,0.701,10.05,2.47E-07,14.42,2
DasExtraInfo_3,13.227,18.519,0.714,0.81,-,0.725,13.07,5.78E-06,17.17,1
Ding_1,16.285,27.402,0.594,0.55,0,0.677,8.04,3.61E-03,16.27,1
Ding_2,17.547,32.841,0.534,0.58,0,0.566,11.06,2.36E-02,19.29,2
Ding_3,15.605,27.107,0.576,0.632,0,0.605,10.05,1.09E-03,19.07,2
Ding_4,16.931,28.45,0.595,0.542,0,0.684,10.05,9.97E-03,15.44,1
Ding_5,17.028,26.536,0.642,0.564,-,0.73,8.54,1.15E-02,18.22,1
Ding_6,18.321,33.013,0.555,0.769,0,0.513,10.05,5.99E-02,17.57,1
Ding_7,15.494,25.346,0.611,0.769,0,0.589,9.05,8.86E-04,18.98,1
Ding_8,16.284,26.513,0.614,0.821,0,0.579,13.07,3.60E-03,17.21,2
Ding_9,17.722,27.584,0.642,0.8,0,0.625,7.04,2.95E-02,16.29,1
Ding_10,15.942,27.882,0.572,0.738,0,0.552,8.54,2.01E-03,16.2,1
Dohkolyan_1,22.396,43.528,0.515,0.503,0,0.587,17.09,7.61E-01,15.33,2
Dohkolyan_2,17.53,28.955,0.605,0.693,0,0.625,23.62,2.30E-02,15.5,1
Dohkolyan_3,15.376,22.841,0.673,0.85,0,0.65,18.59,7.08E-04,17,1
Major_1,16.817,29.648,0.567,0.62,0,0.604,0.5,8.40E-03,18.48,2
Major_2,18.098,33.607,0.539,0.581,-,0.564,0,4.66E-02,20.18,2
Major_3,17.041,30.263,0.563,0.593,-,0.597,0,1.17E-02,18.71,2
Major_4,18.789,33.237,0.565,0.548,-,0.625,0,9.75E-02,18.52,1
Major_5,18.481,35.049,0.527,0.586,0,0.55,0,7.12E-02,22.39,2
Major_6,14.797,27.182,0.544,0.404,0,0.678,1.01,2.21E-04,23.55,2
Major_7,16.421,35.592,0.461,0.474,0.218,0.497,2.01,4.51E-03,21.28,2
Major_8,16.593,36.832,0.451,0.496,0,0.484,0,5.94E-03,27.77,2
Major_9,16.489,56.921,0.29,0.338,0,0.311,13.08,5.04E-03,33.85,2
Major_10,13.46,42.764,0.315,0.212,0,0.398,15.09,1.04E-05,0,1
Xiao_1,15.552,30.782,0.505,0.645,0,0.511,13.08,9.88E-04,19.65,1
Xiao_2,17.958,29.541,0.608,0.717,-,0.607,0,3.95E-02,23.48,1
Xiao_3,16.716,28.512,0.586,0.577,0,0.677,0,7.19E-03,22.89,2
