fn,rmsd_all
12_4qln_solution_rpr.pdb,0.0 
12_Adamiak_1_rpr.pdb,15.65 
12_Adamiak_2_rpr.pdb,14.37 
12_Adamiak_3_rpr.pdb,14.27 
12_Bujnicki_1_rpr.pdb,21.35 
12_Bujnicki_2_rpr.pdb,18.52 
12_Bujnicki_3_rpr.pdb,10.82 
12_Bujnicki_4_rpr.pdb,14.7 
12_Bujnicki_5_rpr.pdb,12.06 
12_Bujnicki_6_rpr.pdb,14.21 
12_Bujnicki_7_rpr.pdb,14.41 
12_Bujnicki_8_rpr.pdb,10.59 
12_Bujnicki_9_rpr.pdb,13.11 
12_Bujnicki_10_rpr.pdb,12.73 
12_Chen_1_rpr.pdb,21.55 
12_Chen_2_rpr.pdb,18.67 
12_Chen_3_rpr.pdb,18.9 
12_Chen_4_rpr.pdb,15.8 
12_Chen_5_rpr.pdb,19.17 
12_Chen_6_rpr.pdb,19.62 
12_Chen_7_rpr.pdb,19.61 
12_Chen_8_rpr.pdb,17.65 
12_Chen_9_rpr.pdb,18.3 
12_Chen_10_rpr.pdb,19.83 
12_Das_1_rpr.pdb,13.42 
12_Das_2_rpr.pdb,12.78 
12_Das_3_rpr.pdb,13.5 
12_Das_4_rpr.pdb,17.27 
12_Das_5_rpr.pdb,13.69 
12_Das_6_rpr.pdb,13.15 
12_Das_7_rpr.pdb,12.28 
12_Das_8_rpr.pdb,12.26 
12_Das_9_rpr.pdb,13.15 
12_Das_10_rpr.pdb,17.11 
12_Ding_1_rpr.pdb,12.53 
12_Ding_2_rpr.pdb,19.69 
12_Ding_3_rpr.pdb,16.35 
12_Ding_4_rpr.pdb,12.88 
12_Ding_5_rpr.pdb,20.58 
12_Ding_6_rpr.pdb,14.87 
12_Ding_7_rpr.pdb,17.1 
12_Ding_8_rpr.pdb,12.54 
12_Ding_9_rpr.pdb,14.09 
12_Ding_10_rpr.pdb,17.3 
12_Ding_11_rpr.pdb,9.49 
12_Ding_12_rpr.pdb,9.82 
12_Kevin_1_rpr.pdb,20.45 
12_Kevin_2_rpr.pdb,20.25 
12_Kevin_3_rpr.pdb,19.96 
12_Xiao_1_rpr.pdb,30.68 
12_Xiao_2_rpr.pdb,30.05 
12_Xiao_3_rpr.pdb,35.92 
