fn,rmsd_all
11_Adamiak_1_rpr.pdb,8.63 
11_Adamiak_2_rpr.pdb,10.38 
11_Adamiak_3_rpr.pdb,9.63 
11_Adamiak_4_rpr.pdb,8.66 
11_Adamiak_5_rpr.pdb,9.08 
11_Adamiak_6_rpr.pdb,6.37 
11_Adamiak_7_rpr.pdb,7.31 
11_Adamiak_8_rpr.pdb,10.48 
11_Adamiak_9_rpr.pdb,8.43 
11_Adamiak_10_rpr.pdb,9.93 
11_Bujnicki_1_rpr.pdb,6.17 
11_Bujnicki_2_rpr.pdb,18.44 
11_Bujnicki_3_rpr.pdb,6.73 
11_Bujnicki_4_rpr.pdb,6.51 
11_Bujnicki_5_rpr.pdb,9.4 
11_Bujnicki_6_rpr.pdb,12.38 
11_Bujnicki_7_rpr.pdb,7.36 
11_Bujnicki_8_rpr.pdb,11.54 
11_Bujnicki_9_rpr.pdb,5.25 
11_Bujnicki_10_rpr.pdb,7.72 
11_Chen_1_rpr.pdb,5.48 
11_Chen_2_rpr.pdb,7.09 
11_Chen_3_rpr.pdb,4.8 
11_Chen_4_rpr.pdb,6.4 
11_Chen_5_rpr.pdb,8.44 
11_Chen_6_rpr.pdb,6.58 
11_Chen_7_rpr.pdb,6.63 
11_Chen_8_rpr.pdb,7.73 
11_Chen_9_rpr.pdb,7.29 
11_Chen_10_rpr.pdb,8.0 
11_Das_1_rpr.pdb,5.49 
11_Das_2_rpr.pdb,8.34 
11_Das_3_rpr.pdb,7.49 
11_Das_4_rpr.pdb,6.39 
11_Das_5_rpr.pdb,7.34 
11_Das_6_rpr.pdb,6.32 
11_Das_7_rpr.pdb,7.6 
11_Das_8_rpr.pdb,9.44 
11_Das_9_rpr.pdb,18.66 
11_Das_10_rpr.pdb,9.43 
11_Ding_1_rpr.pdb,5.4 
11_Ding_2_rpr.pdb,10.78 
11_Ding_3_rpr.pdb,10.14 
11_Ding_4_rpr.pdb,6.41 
11_Ding_5_rpr.pdb,6.52 
11_Ding_6_rpr.pdb,6.7 
11_Ding_7_rpr.pdb,5.54 
11_Ding_8_rpr.pdb,6.21 
11_Ding_9_rpr.pdb,8.14 
11_Ding_10_rpr.pdb,10.87 
11_Xiao_1_rpr.pdb,8.94 
11_Xiao_2_rpr.pdb,12.73 
11_Xiao_3_rpr.pdb,10.92 
solution_5iem_rpr.pdb,0.0 
