Model,RMSD,DI all,INF all,INF wc,INF nwc,INF stacking,Clash Score,P-value,mcq,best sol.
Bujnicki_1,10.177,12.079,0.843,0.917,0.676,0.833,1.27,2.78E-16,19.92,1
Bujnicki_2,10.39,12.676,0.82,0.902,0.667,0.808,1.63,7.77E-16,19.59,1
Bujnicki_3,10.375,12.603,0.823,0.914,0.564,0.817,0.91,7.22E-16,21.23,1
Bujnicki_4,9.339,12.462,0.749,0.874,0.403,0.738,0.91,0.00E+00,21.29,1
Bujnicki_5,10.274,12.548,0.819,0.866,0.564,0.828,1.81,4.44E-16,19.44,1
Bujnicki_6,10.361,12.768,0.812,0.861,0.507,0.823,1.27,6.66E-16,19.45,1
Bujnicki_7,10.248,12.821,0.799,0.883,0.54,0.797,1.45,3.89E-16,19.66,1
Bujnicki_8,10.193,12.319,0.827,0.895,0.643,0.824,1.45,3.33E-16,19.11,1
Bujnicki_9,10.359,12.697,0.816,0.883,0.69,0.807,0.91,6.66E-16,19.94,1
Bujnicki_10,10.397,12.725,0.817,0.909,0.693,0.803,1.45,7.77E-16,21.04,1
Chen_1,11.779,16.36,0.72,0.837,0.483,0.709,7.81,2.99E-13,23.02,2
Das_1,7.724,9.374,0.824,0.92,0.7,0.811,11.64,0.00E+00,16.75,1
Das_2,10.553,12.716,0.83,0.929,0.778,0.803,11.64,1.61E-15,16.13,1
Das_3,6.922,8.511,0.813,0.946,0.7,0.786,11.09,0.00E+00,16.7,1
Das_4,7.277,8.799,0.827,0.948,0.684,0.809,10.73,0.00E+00,15.91,1
Das_5,10.562,12.465,0.847,0.948,0.778,0.823,10.91,1.67E-15,16.39,1
Dokholyan_1,13.557,19.578,0.692,0.858,0.101,0.684,11.07,2.60E-10,21.86,1
Dokholyan_2,14.609,21.732,0.672,0.892,0.12,0.632,8.89,9.09E-09,22.67,2
Dokholyan_3,13.405,18.735,0.716,0.88,0.101,0.71,7.8,1.51E-10,22.58,1
Dokholyan_4,13.767,19.749,0.697,0.87,0.154,0.672,9.07,5.42E-10,22.61,1
Dokholyan_5,17.332,27.441,0.632,0.84,0,0.592,8.89,1.93E-05,23.32,1
Dokholyan_6,18.422,27.593,0.668,0.895,0.134,0.621,6.71,2.24E-04,22.26,1
Dokholyan_7,16.917,25.174,0.672,0.827,0.202,0.659,6.35,6.92E-06,21.89,1
Dokholyan_8,16.357,24.34,0.672,0.849,0.134,0.647,8.71,1.60E-06,22.02,1
Dokholyan_9,17.405,26.318,0.661,0.81,0,0.653,9.8,2.30E-05,22.3,1
Dokholyan_10,13.75,20.139,0.683,0.892,0,0.654,10.16,5.12E-10,22.56,1
