fn,rmsd_all
10_0_solution_4LCK_rpr.pdb,0.0 
10_BUJNICKI_1_rpr.pdb,10.17 
10_BUJNICKI_2_rpr.pdb,10.38 
10_BUJNICKI_3_rpr.pdb,10.37 
10_BUJNICKI_4_rpr.pdb,9.33 
10_BUJNICKI_5_rpr.pdb,10.27 
10_BUJNICKI_6_rpr.pdb,10.35 
10_BUJNICKI_7_rpr.pdb,10.24 
10_BUJNICKI_8_rpr.pdb,10.19 
10_BUJNICKI_9_rpr.pdb,10.35 
10_BUJNICKI_10_rpr.pdb,10.39 
10_CHEN_1_rpr.pdb,11.33 
10_DAS_1_rpr.pdb,7.61 
10_DAS_2_rpr.pdb,10.5 
10_DAS_3_rpr.pdb,6.84 
10_DAS_4_rpr.pdb,7.08 
10_DAS_5_rpr.pdb,10.45 
10_DING_1_rpr.pdb,13.15 
10_DING_2_rpr.pdb,14.01 
10_DING_3_rpr.pdb,12.5 
10_DING_4_rpr.pdb,13.35 
10_DING_5_rpr.pdb,16.73 
10_DING_6_rpr.pdb,17.42 
10_DING_7_rpr.pdb,16.25 
10_DING_8_rpr.pdb,15.57 
10_DING_9_rpr.pdb,16.66 
10_DING_10_rpr.pdb,13.19 
