Model,RMSD,DI all,INF all,INF wc,INF nwc,INF stacking,Clash Score,P-value,mcq,best sol.
Bujnicki_1,5.699,6.457,0.883,0.976,-,0.838,0,3.34E-12,11.95,1
Bujnicki_2,6.131,7.963,0.77,0.85,-,0.739,60.09,1.74E-11,11.66,1
Bujnicki_3,5.282,6.522,0.81,0.9,-,0.765,47.3,6.43E-13,9.96,1
Bujnicki_4,4.944,6.88,0.719,0.651,-,0.75,69.78,1.62E-13,11.8,1
Bujnicki_5,5.111,6.542,0.781,0.777,-,0.796,67.07,3.22E-13,10,1
Chen_1,4.319,5.259,0.821,0.872,-,0.796,0,1.17E-14,13.68,1
Das_1,3.781,4.117,0.918,0.953,-,0.911,0,1.11E-15,10.87,1
Das_2,4.405,5.029,0.876,0.9,-,0.866,1.36,1.69E-14,10.66,1
Das_3,3.397,3.639,0.934,0.953,-,0.924,0,1.66E-16,10.39,1
Das_4,3.618,3.988,0.907,0.906,-,0.908,0,5.55E-16,10.89,1
Das_5,4.283,5.032,0.851,0.878,-,0.838,0,9.99E-15,12.04,1
Dokholyan_1,7.207,8.882,0.811,0.858,-,0.788,24.98,8.37E-10,11.97,1
Major_1,4.319,4.949,0.873,0.949,-,0.847,51.56,1.17E-14,21.66,1
Santalucia_1,5.759,7.138,0.807,0.95,-,0.729,25,4.22E-12,0,1
